Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2016-01-01;52;Pays de la Loire;5.35;10.95;8.15
2016-01-02;52;Pays de la Loire;8.15;11.6;9.88
2016-01-03;52;Pays de la Loire;5.8;10.2;8.0
2016-01-04;52;Pays de la Loire;6.15;12.15;9.15
2016-01-05;52;Pays de la Loire;6.35;10.0;8.18
2016-01-06;52;Pays de la Loire;5.6;11.95;8.77
2016-01-07;52;Pays de la Loire;6.85;12.55;9.7
2016-01-08;52;Pays de la Loire;4.3;10.4;7.35
2016-01-09;52;Pays de la Loire;5.55;13.2;9.38
2016-01-10;52;Pays de la Loire;5.0;10.7;7.85
2016-01-11;52;Pays de la Loire;4.95;10.3;7.62
2016-01-12;52;Pays de la Loire;5.35;9.25;7.3
2016-01-13;52;Pays de la Loire;0.95;8.55;4.75
2016-01-14;52;Pays de la Loire;3.95;8.95;6.45
2016-01-15;52;Pays de la Loire;-0.05;7.25;3.6
2016-01-16;52;Pays de la Loire;-1.7;8.25;3.28
2016-01-17;52;Pays de la Loire;-2.55;7.25;2.35
2016-01-18;52;Pays de la Loire;1.5;3.7;2.6
2016-01-19;52;Pays de la Loire;1.1;3.3;2.2
2016-01-20;52;Pays de la Loire;1.3;4.9;3.1
2016-01-21;52;Pays de la Loire;-1.05;3.65;1.3
2016-01-22;52;Pays de la Loire;1.9;11.45;6.68
2016-01-23;52;Pays de la Loire;5.4;11.45;8.43
2016-01-24;52;Pays de la Loire;6.95;16.3;11.62
2016-01-25;52;Pays de la Loire;5.15;14.95;10.05
2016-01-26;52;Pays de la Loire;7.0;13.65;10.32
2016-01-27;52;Pays de la Loire;10.35;14.1;12.22
2016-01-28;52;Pays de la Loire;6.6;9.95;8.27
2016-01-29;52;Pays de la Loire;0.05;10.95;5.5
2016-01-30;52;Pays de la Loire;8.85;11.85;10.35
2016-01-31;52;Pays de la Loire;8.25;13.7;10.98
2016-02-01;52;Pays de la Loire;11.4;13.15;12.27
2016-02-02;52;Pays de la Loire;9.5;13.15;11.32
2016-02-03;52;Pays de la Loire;4.95;10.0;7.48
2016-02-04;52;Pays de la Loire;1.4;12.2;6.8
2016-02-05;52;Pays de la Loire;9.7;11.3;10.5
2016-02-06;52;Pays de la Loire;6.8;14.0;10.4
2016-02-07;52;Pays de la Loire;5.45;12.5;8.98
2016-02-08;52;Pays de la Loire;8.75;13.05;10.9
2016-02-09;52;Pays de la Loire;4.7;12.8;8.75
2016-02-10;52;Pays de la Loire;2.15;9.5;5.82
2016-02-11;52;Pays de la Loire;0.35;10.25;5.3
2016-02-12;52;Pays de la Loire;3.0;11.4;7.2
2016-02-13;52;Pays de la Loire;5.2;11.75;8.48
2016-02-14;52;Pays de la Loire;4.55;10.7;7.62
2016-02-15;52;Pays de la Loire;1.9;8.35;5.12
2016-02-16;52;Pays de la Loire;-2.35;8.25;2.95
2016-02-17;52;Pays de la Loire;-4.75;5.65;0.45
2016-02-18;52;Pays de la Loire;0.45;8.45;4.45
2016-02-19;52;Pays de la Loire;-2.2;11.35;4.58
2016-02-20;52;Pays de la Loire;7.65;12.05;9.85
2016-02-21;52;Pays de la Loire;9.8;12.15;10.98
2016-02-22;52;Pays de la Loire;9.55;12.15;10.85
2016-02-23;52;Pays de la Loire;6.7;10.75;8.72
2016-02-24;52;Pays de la Loire;4.85;8.95;6.9
2016-02-25;52;Pays de la Loire;1.05;9.55;5.3
2016-02-26;52;Pays de la Loire;0.3;9.7;5.0
2016-02-27;52;Pays de la Loire;1.25;8.7;4.97
2016-02-28;52;Pays de la Loire;1.65;9.8;5.72
2016-02-29;52;Pays de la Loire;0.35;10.0;5.18
2016-03-01;52;Pays de la Loire;0.55;11.05;5.8
2016-03-02;52;Pays de la Loire;5.65;11.25;8.45
2016-03-03;52;Pays de la Loire;5.65;11.65;8.65
2016-03-04;52;Pays de la Loire;5.3;8.55;6.93
2016-03-05;52;Pays de la Loire;1.55;8.95;5.25
2016-03-06;52;Pays de la Loire;-0.1;10.0;4.95
2016-03-07;52;Pays de la Loire;0.25;8.4;4.32
2016-03-08;52;Pays de la Loire;-2.3;10.4;4.05
2016-03-09;52;Pays de la Loire;6.45;9.55;8.0
2016-03-10;52;Pays de la Loire;5.25;9.7;7.48
2016-03-11;52;Pays de la Loire;4.8;11.3;8.05
2016-03-12;52;Pays de la Loire;0.05;12.3;6.18
2016-03-13;52;Pays de la Loire;1.35;11.25;6.3
2016-03-14;52;Pays de la Loire;3.0;12.05;7.52
2016-03-15;52;Pays de la Loire;1.85;13.25;7.55
2016-03-16;52;Pays de la Loire;4.1;10.6;7.35
2016-03-17;52;Pays de la Loire;3.05;12.9;7.98
2016-03-18;52;Pays de la Loire;0.85;14.1;7.48
2016-03-19;52;Pays de la Loire;2.95;11.3;7.12
2016-03-20;52;Pays de la Loire;4.35;11.45;7.9
2016-03-21;52;Pays de la Loire;2.05;12.05;7.05
2016-03-22;52;Pays de la Loire;1.7;12.85;7.28
2016-03-23;52;Pays de la Loire;2.85;13.8;8.32
2016-03-24;52;Pays de la Loire;1.3;12.2;6.75
2016-03-25;52;Pays de la Loire;7.75;16.05;11.9
2016-03-26;52;Pays de la Loire;6.9;16.35;11.62
2016-03-27;52;Pays de la Loire;6.7;13.9;10.3
2016-03-28;52;Pays de la Loire;8.55;14.1;11.32
2016-03-29;52;Pays de la Loire;6.7;15.35;11.02
2016-03-30;52;Pays de la Loire;7.6;9.15;8.38
2016-03-31;52;Pays de la Loire;5.45;10.95;8.2
2016-04-01;52;Pays de la Loire;-0.5;14.95;7.22
2016-04-02;52;Pays de la Loire;0.7;11.5;6.1
2016-04-03;52;Pays de la Loire;4.15;18.55;11.35
2016-04-04;52;Pays de la Loire;7.0;17.35;12.18
